country,norm_gold_loss,norm_gmw_loss
AGO,99.43832620318304,99.53252086908378
AUS,93.49318855939853,68.41436151093686
BGD,93.73959307086383,91.8405789732728
BLZ,98.98282027053928,98.49852277752034
BEN,100.0,99.8389332375706
BRA,66.33390403154625,76.05002875093149
VGB,99.90176266160347,100.0
KHM,98.84687205833914,98.53777573423302
CMR,99.18401150351947,99.26490379496869
COL,96.79792841438494,93.13579110007817
CRI,99.33679397452407,99.43475786918378
CUB,74.37297646868686,83.45684089188347
DJI,99.9955881946162,99.92449419905752
DOM,99.66144096165416,99.5951271639437
ECU,99.51263525489207,94.45849013086661
SLV,99.65293689087554,99.83217537560715
GNQ,99.96456767856536,99.92102641462735
ERI,99.98994538345192,99.27416544069457
GUF,98.63885921761609,97.02318315124062
GAB,99.39566521047631,99.19169616985697
GMB,99.9861983465879,99.17578206608466
GHA,99.88642297905879,98.90193166249159
GTM,99.96648413139047,99.66941894578417
GIN,90.86642524781055,96.3603791964321
GNB,98.64996881072783,95.21488925320051
GUY,93.40829866950436,98.78106847211744
HTI,99.34971978128108,99.19745025301653
HND,98.13632600365267,99.01834223334527
IND,91.19273914785163,88.48489394658473
IDN,0.0,0.0
IRN,99.99481182545642,98.56327541620203
CIV,99.9903707905567,99.79085162068237
JAM,99.52441595016164,99.7037095622741
KEN,99.45980689905434,99.08807350896203
LBR,99.99487470167907,99.8094400291179
MDG,77.48566132011982,94.75572247585434
MYS,75.09577572286399,93.42180375624724
MTQ,99.99313989851197,99.98791723834684
MEX,91.89569065307109,71.33982738786138
MOZ,90.55853739867048,93.22657762462799
MMR,61.7225226640149,72.80712989887624
NCL,99.84631960843579,99.55333047609177
NZL,99.69345061428771,99.36828335960794
NIC,97.66194234616903,99.05194326312404
NGA,95.5919974723077,90.48312115475048
OMN,99.98647443935914,99.98624478093815
PAK,98.58347197023414,94.34597982313814
PAN,98.79664551595448,98.63950886049996
PNG,92.010358232446,95.48897861458752
PER,99.90738295655204,99.60314992289814
PHL,96.32513536740323,90.84178043972237
PRI,99.80557935311788,99.86956319336245
QAT,99.98836251434837,99.9987894096315
SAU,99.8905802765397,98.83918866677512
SEN,99.87477023168314,98.36665241117875
SLE,98.7341293332592,98.36001572917496
SGP,100.0,99.95624027102065
SLB,99.79017925927694,99.41688882841332
SOM,99.99935572918007,99.91246764567578
ZAF,99.98867213595787,99.90778504075553
LKA,99.96358654619225,97.52416628979724
SUR,92.56048059036551,97.29076312620687
TZA,98.83772148158246,98.09063730566402
THA,96.81278574973157,93.50749094109307
BHS,93.79423548775459,90.99428692954694
TGO,99.99743762222202,99.99573019738853
TTO,99.63944831694282,99.88179479761946
ARE,99.99999081628395,99.71527397715968
USA,99.86832281528358,93.6137659410252
VEN,93.45201485711469,95.65957753088132
VNM,82.5189587920103,92.3422662474387
